country,location_name,year,month,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Afghanistan,Kabul,2024,5,34.52,69.18,1716516646.875,20.05625,68.075,7.2125,11.596875,115.4375,1009.8125,29.8175,0.1146875,0.005,38.40625,30.03125,20.153125,68.275,9.75,5.75,3.625,10.1875,16.40625,1457.7125,77.196875,16.784375,0.6,7.83125,17.078125,1.0,1.125,80.125
Afghanistan,Kabul,2024,6,34.52,69.18,1718502630.0,25.59,78.04333333333334,10.636666666666667,17.11,126.83333333333333,1004.9,29.668333333333333,0.07266666666666667,0.0026666666666666666,24.833333333333332,20.833333333333332,24.603333333333335,76.28333333333333,9.8,5.866666666666666,6.5,12.626666666666667,20.336666666666666,1481.57,87.65,17.0,0.53,7.38,16.78666666666667,1.0,1.0666666666666667,49.8
Afghanistan,Kabul,2024,7,34.52,69.18,1721101189.6551723,31.303448275862067,88.36206896551724,12.886206896551723,20.731034482758623,103.86206896551724,998.0,29.47103448275862,0.0003448275862068966,0.0,17.93103448275862,13.068965517241379,29.475862068965515,85.04827586206896,10.0,6.0,7.758620689655173,14.813793103448276,23.841379310344827,624.7586206896551,119.32758620689656,4.7,0.30689655172413793,9.06551724137931,23.596551724137928,1.0689655172413792,1.1379310344827587,43.758620689655174
Afghanistan,Kabul,2024,8,34.52,69.18,1723810587.096774,30.848387096774193,87.53870967741935,12.551612903225807,20.19677419354839,57.70967741935484,1001.258064516129,29.566451612903226,0.037096774193548385,0.0012903225806451613,20.548387096774192,11.903225806451612,29.316129032258065,84.75806451612904,9.774193548387096,5.838709677419355,7.483870967741935,14.432258064516128,23.238709677419354,605.0258064516129,119.61290322580645,3.641935483870968,0.3064516129032258,9.638709677419355,22.674193548387095,1.032258064516129,1.2258064516129032,45.54838709677419
Afghanistan,Kabul,2024,9,34.52,69.18,1726441950.0,28.216666666666665,82.78333333333333,7.583333333333333,12.223333333333333,67.56666666666666,1004.8,29.671,0.014333333333333335,0.0006666666666666666,13.733333333333333,13.066666666666666,26.39,79.50333333333333,9.833333333333334,5.9,7.0,8.73,14.063333333333333,376.17333333333335,138.04666666666665,2.5236666666666667,13.977,20.99683333333333,42.791666666666664,1.6666666666666667,2.3666666666666667,46.1
Afghanistan,Kabul,2024,10,34.51691290322581,69.1830870967742,1729070767.7419355,21.98709677419355,71.55483870967741,4.029032258064516,6.461290322580646,99.58064516129032,1011.8387096774194,29.878387096774194,0.10161290322580645,0.003870967741935484,21.70967741935484,13.258064516129032,21.635483870967743,70.94516129032259,9.935483870967742,5.935483870967742,4.183870967741935,4.790322580645161,7.693548387096774,576.2451612903227,110.12903225806451,6.803225806451613,16.745483870967742,26.031290322580645,50.875,2.032258064516129,2.870967741935484,44.774193548387096
Afghanistan,Kabul,2024,11,34.5167,69.1833,1731704700.0,15.67,60.21,2.87,4.6466666666666665,119.9,1015.9,29.994666666666667,0.002,0.0,27.466666666666665,19.666666666666668,15.656666666666666,60.193333333333335,9.966666666666667,5.966666666666667,2.76,4.8133333333333335,7.743333333333334,916.7983333333334,88.4,9.817333333333332,10.588166666666666,19.048833333333334,29.760333333333335,1.7,2.2333333333333334,47.333333333333336
Afghanistan,Kabul,2024,12,34.5167,69.1833,1734345203.2258065,7.174193548387097,44.91612903225807,2.6129032258064515,4.235483870967743,104.45161290322581,1018.3225806451613,30.07161290322581,0.0003225806451612903,0.0,22.387096774193548,14.64516129032258,6.922580645161291,44.438709677419354,10.0,6.0,0.6322580645161291,5.293548387096774,8.52258064516129,491.3838709677419,107.25806451612904,4.320645161290322,16.960322580645162,15.396774193548387,20.720000000000002,1.4193548387096775,1.8387096774193548,46.54838709677419
Afghanistan,Kabul,2025,1,34.5167,69.1833,1737022848.387097,1.3129032258064517,34.37096774193548,4.316129032258065,6.961290322580646,197.3548387096774,1022.8064516129032,30.203548387096774,0.07451612903225807,0.0029032258064516127,58.87096774193548,36.096774193548384,-0.6387096774193547,30.845161290322583,9.064516129032258,5.419354838709677,0.8548387096774194,5.767741935483872,9.280645161290321,954.5999999999999,134.2258064516129,12.97983870967742,6.773387096774194,28.251290322580644,33.96241935483871,2.0,2.935483870967742,47.935483870967744
Afghanistan,Kabul,2025,2,34.5167,69.1833,1739571203.5714285,4.789285714285714,40.61785714285714,4.428571428571429,7.139285714285714,197.75,1019.3214285714286,30.099999999999998,0.05071428571428571,0.0017857142857142859,47.857142857142854,29.25,3.317857142857143,37.964285714285715,9.428571428571429,5.642857142857143,1.6500000000000001,5.685714285714286,9.15,665.8678571428571,125.96428571428571,6.871428571428572,7.2282142857142855,22.21982142857143,41.03035714285714,1.7857142857142858,2.2857142857142856,54.392857142857146
